Fee explanation,Unnamed: 1
FBT warehouse service fee using GMV payments,This fee covers FBT (Fulfilled by TikTok) warehouse services for your goods. This amount may include adjustments for service refunds and platform incentives.
FBT warehouse compensation,Compensation for FBT warehouse damage
Additional supporting information:,
Customer payment,The total amount paid by the customer.
Customer refund,The exact amount refunded to the customer.
Seller co-funded voucher discount,Seller's portion of a co-funded voucher discount during the seller's participation in co-funding campaigns.
Seller co-funded voucher discount refund,The discount amount refunded to the seller derived from the seller's portion of a co-funded voucher during the seller's participation in co-funding campaigns.
Platform discounts,"Platform discounts are the total amount of discounts funded by the platform (TikTok Shop). These include:

i) Discounts funded by the platform through Platform's Direct Subsidy, Platform Flash Deal, Platform Buy More Save More and Platform Voucher.
ii) The platform's portion of a co-funded voucher discount during co-funding campaigns."
Platform discounts refund,"The discount amount returned to the platform. This includes:

i) Discounts funded by the platform through Platform's Direct Subsidy, Platform Flash Deal, Platform Buy More Save More and Platform Voucher.
ii) The platform's portion of a co-funded Voucher discount during co-funding Campaigns."
Platform co-funded voucher discounts,The platform's portion of a co-funded voucher discount during co-funding campaigns.
Platform co-funded voucher discounts refund,The discount amount refunded to the platform derived from the platform's portion of a co-funded voucher during co-funding campaigns.
Sales tax payment,The sales tax collected from the buyer for the product and delivery.
Sales tax refund,"If the purchase is refunded, the sales tax that was applied will be returned to the buyer."
Retail delivery fee payment,The retail delivery fee is collected and remitted by the TikTok Shop. It applies to all deliveries by motor vehicle to a location in Colorado with at least one item of tangible personal property that is subject to state sales or use tax.
Retail delivery fee refund,"If the purchase is refunded, the retail delivery fee that was applied will be returned to the buyer."
Customer-paid shipping fee before discounts,Order's original shipping fee the customer needs to paid.
Seller shipping fee discount,The shipping fee discount provided by sellers.
TikTok Shop shipping fee discount to customer,Shipping fee discount provided by TikTok Shop to customers.
Estimated chargeable package weight,Product weight uploaded by the seller.
Chargeable package weight,Weight measured by the platform logistics provider.
Collection methods,"Package collection method selected by the seller, including pick-up and drop-off."
Delivery option,"Package delivery option selected by the seller, including standard, economy, and express."
Signature confirmation service fee type,The type of signature confirmation service the seller chose. Includes standard and adult.
Rebate,A discount on referral fees offered by TikTok Shop to eligible sellers.
